nw ,CBody_avg VDD 0.45 ,CBody_avg VDD 0.9 ,CBody_avg VDD 1.35 ,CBody_avg VDD 1.8 
80.00E-9,14.31E-18,14.33E-18,14.33E-18,14.33E-18
120.0E-9,20.87E-18,20.90E-18,20.91E-18,20.91E-18
160.0E-9,27.44E-18,27.47E-18,27.48E-18,27.48E-18
200.0E-9,34.00E-18,34.04E-18,34.06E-18,34.06E-18
240.0E-9,40.57E-18,40.62E-18,40.64E-18,40.64E-18
280.0E-9,47.13E-18,47.19E-18,47.21E-18,47.21E-18
320.0E-9,53.70E-18,53.76E-18,53.79E-18,53.79E-18
360.0E-9,60.26E-18,60.34E-18,60.37E-18,60.37E-18
400.0E-9,66.83E-18,66.91E-18,66.94E-18,66.94E-18
440.0E-9,73.39E-18,73.48E-18,73.52E-18,73.52E-18
480.0E-9,79.96E-18,80.06E-18,80.10E-18,80.10E-18
520.0E-9,86.52E-18,86.63E-18,86.67E-18,86.67E-18
560.0E-9,93.09E-18,93.20E-18,93.25E-18,93.25E-18
600.0E-9,99.65E-18,99.78E-18,99.83E-18,99.83E-18
