nw ,IBody_avg VDD 0.45 ,IBody_avg VDD 0.9 ,IBody_avg VDD 1.35 ,IBody_avg VDD 1.8 
80.00E-9,6.440E-9,12.90E-9,19.35E-9,25.80E-9
120.0E-9,9.393E-9,18.81E-9,28.23E-9,37.63E-9
160.0E-9,12.35E-9,24.72E-9,37.10E-9,49.47E-9
200.0E-9,15.30E-9,30.64E-9,45.98E-9,61.31E-9
240.0E-9,18.26E-9,36.56E-9,54.86E-9,73.14E-9
280.0E-9,21.21E-9,42.47E-9,63.74E-9,84.98E-9
320.0E-9,24.16E-9,48.39E-9,72.62E-9,96.82E-9
360.0E-9,27.12E-9,54.30E-9,81.49E-9,108.7E-9
400.0E-9,30.07E-9,60.22E-9,90.37E-9,120.5E-9
440.0E-9,33.03E-9,66.14E-9,99.25E-9,132.3E-9
480.0E-9,35.98E-9,72.05E-9,108.1E-9,144.2E-9
520.0E-9,38.93E-9,77.97E-9,117.0E-9,156.0E-9
560.0E-9,41.89E-9,83.88E-9,125.9E-9,167.8E-9
600.0E-9,44.84E-9,89.80E-9,134.8E-9,179.7E-9
