pW ,CBody_avg VDD -1.8 ,CBody_avg VDD -1.35 ,CBody_avg VDD -0.9 ,CBody_avg VDD -0.45 
80.00E-9,14.04E-18,14.05E-18,14.04E-18,14.02E-18
120.0E-9,20.29E-18,20.29E-18,20.28E-18,20.25E-18
160.0E-9,26.53E-18,26.53E-18,26.52E-18,26.48E-18
200.0E-9,32.77E-18,32.77E-18,32.76E-18,32.72E-18
240.0E-9,39.02E-18,39.02E-18,39.00E-18,38.95E-18
280.0E-9,45.26E-18,45.26E-18,45.24E-18,45.18E-18
320.0E-9,51.50E-18,51.50E-18,51.48E-18,51.41E-18
360.0E-9,57.75E-18,57.75E-18,57.72E-18,57.64E-18
400.0E-9,63.99E-18,63.99E-18,63.96E-18,63.88E-18
440.0E-9,70.24E-18,70.23E-18,70.20E-18,70.11E-18
480.0E-9,76.48E-18,76.48E-18,76.44E-18,76.34E-18
520.0E-9,82.72E-18,82.72E-18,82.68E-18,82.57E-18
560.0E-9,88.97E-18,88.96E-18,88.92E-18,88.81E-18
600.0E-9,95.21E-18,95.21E-18,95.16E-18,95.04E-18
