pW ,IBody_avg VDD -1.8 ,IBody_avg VDD -1.35 ,IBody_avg VDD -0.9 ,IBody_avg VDD -0.45 
80.00E-9,-25.28E-9,-18.96E-9,-12.64E-9,-6.310E-9
120.0E-9,-36.52E-9,-27.39E-9,-18.25E-9,-9.114E-9
160.0E-9,-47.75E-9,-35.81E-9,-23.87E-9,-11.92E-9
200.0E-9,-58.99E-9,-44.24E-9,-29.48E-9,-14.72E-9
240.0E-9,-70.23E-9,-52.67E-9,-35.10E-9,-17.53E-9
280.0E-9,-81.47E-9,-61.10E-9,-40.71E-9,-20.33E-9
320.0E-9,-92.71E-9,-69.53E-9,-46.33E-9,-23.14E-9
360.0E-9,-103.9E-9,-77.96E-9,-51.95E-9,-25.94E-9
400.0E-9,-115.2E-9,-86.39E-9,-57.56E-9,-28.74E-9
440.0E-9,-126.4E-9,-94.81E-9,-63.18E-9,-31.55E-9
480.0E-9,-137.7E-9,-103.2E-9,-68.79E-9,-34.35E-9
520.0E-9,-148.9E-9,-111.7E-9,-74.41E-9,-37.16E-9
560.0E-9,-160.1E-9,-120.1E-9,-80.03E-9,-39.96E-9
600.0E-9,-171.4E-9,-128.5E-9,-85.64E-9,-42.77E-9
