VBBP_val ,INV_pow_avg VBBN_val 0 ,INV_pow_avg VBBN_val 0.45 ,INV_pow_avg VBBN_val 0.9 ,INV_pow_avg VBBN_val 1.35 ,INV_pow_avg VBBN_val 1.8 
-1.800,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-1.650,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-1.500,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-1.350,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-1.200,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-1.050,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-900.0E-3,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-750.0E-3,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-600.0E-3,54.29E-12,146.5E-12,396.6E-12,1.073E-9,2.896E-9
-450.0E-3,54.29E-12,146.5E-12,396.5E-12,1.073E-9,2.896E-9
-300.0E-3,54.29E-12,146.5E-12,396.5E-12,1.073E-9,2.896E-9
-150.0E-3,54.29E-12,146.5E-12,396.5E-12,1.073E-9,2.896E-9
0.000,54.29E-12,146.5E-12,396.5E-12,1.073E-9,2.896E-9
