VBBP_val ,INV_pow_avg VBBN_val 0 ,INV_pow_avg VBBN_val 0.45 ,INV_pow_avg VBBN_val 0.9 ,INV_pow_avg VBBN_val 1.35 ,INV_pow_avg VBBN_val 1.8 
-1.800,32.46E-9,32.47E-9,32.48E-9,32.48E-9,32.48E-9
-1.650,23.70E-9,23.70E-9,23.71E-9,23.71E-9,23.71E-9
-1.500,17.23E-9,17.23E-9,17.23E-9,17.23E-9,17.23E-9
-1.350,12.48E-9,12.49E-9,12.49E-9,12.49E-9,12.49E-9
-1.200,9.029E-9,9.030E-9,9.031E-9,9.031E-9,9.031E-9
-1.050,6.523E-9,6.523E-9,6.523E-9,6.524E-9,6.524E-9
-900.0E-3,4.710E-9,4.710E-9,4.710E-9,4.710E-9,4.710E-9
-750.0E-3,3.401E-9,3.401E-9,3.402E-9,3.402E-9,3.402E-9
-600.0E-3,2.458E-9,2.458E-9,2.458E-9,2.458E-9,2.458E-9
-450.0E-3,1.778E-9,1.778E-9,1.778E-9,1.778E-9,1.778E-9
-300.0E-3,1.288E-9,1.288E-9,1.288E-9,1.288E-9,1.288E-9
-150.0E-3,934.4E-12,934.5E-12,934.5E-12,934.5E-12,934.5E-12
0.000,679.2E-12,679.2E-12,679.2E-12,679.2E-12,679.2E-12
