VBBP_val ,INV_pow_avg VBBN_val 0 ,INV_pow_avg VBBN_val 0.45 ,INV_pow_avg VBBN_val 0.9 ,INV_pow_avg VBBN_val 1.35 ,INV_pow_avg VBBN_val 1.8 
-1.800,89.17E-9,88.60E-9,88.51E-9,89.26E-9,91.54E-9
-1.650,85.71E-9,84.90E-9,84.51E-9,84.89E-9,86.67E-9
-1.500,83.35E-9,82.34E-9,81.70E-9,81.74E-9,83.08E-9
-1.350,81.81E-9,80.63E-9,79.78E-9,79.53E-9,80.48E-9
-1.200,80.87E-9,79.57E-9,78.54E-9,78.04E-9,78.66E-9
-1.050,80.40E-9,79.01E-9,77.81E-9,77.10E-9,77.43E-9
-900.0E-3,80.27E-9,78.77E-9,77.45E-9,76.57E-9,76.65E-9
-750.0E-3,80.36E-9,78.78E-9,77.37E-9,76.34E-9,76.20E-9
-600.0E-3,80.63E-9,78.99E-9,77.48E-9,76.33E-9,76.01E-9
-450.0E-3,81.01E-9,79.33E-9,77.75E-9,76.47E-9,75.99E-9
-300.0E-3,81.48E-9,79.74E-9,78.10E-9,76.74E-9,76.11E-9
-150.0E-3,81.99E-9,80.21E-9,78.52E-9,77.07E-9,76.34E-9
0.000,82.53E-9,80.73E-9,78.98E-9,77.47E-9,76.63E-9
