pw ,INV_pow_avg nw 8e-08 ,INV_pow_avg nw 1.2e-07 ,INV_pow_avg nw 1.6e-07 ,INV_pow_avg nw 2e-07 ,INV_pow_avg nw 2.4e-07 ,INV_pow_avg nw 2.8e-07 
160.0E-9,59.11E-9,61.80E-9,64.56E-9,67.40E-9,70.26E-9,73.12E-9
200.0E-9,62.22E-9,64.84E-9,67.57E-9,70.38E-9,73.17E-9,75.99E-9
240.0E-9,65.35E-9,67.91E-9,70.58E-9,73.31E-9,76.06E-9,78.83E-9
280.0E-9,68.47E-9,70.95E-9,73.59E-9,76.23E-9,78.92E-9,81.66E-9
320.0E-9,71.57E-9,74.02E-9,76.58E-9,79.17E-9,81.83E-9,84.49E-9
360.0E-9,74.70E-9,77.07E-9,79.56E-9,82.11E-9,84.71E-9,87.32E-9
400.0E-9,77.79E-9,80.10E-9,82.53E-9,85.02E-9,87.59E-9,90.15E-9
440.0E-9,80.88E-9,83.12E-9,85.50E-9,87.95E-9,90.45E-9,92.98E-9
480.0E-9,83.96E-9,86.15E-9,88.47E-9,90.86E-9,93.33E-9,95.81E-9
520.0E-9,87.01E-9,89.15E-9,91.41E-9,93.77E-9,96.18E-9,98.61E-9
560.0E-9,90.07E-9,92.13E-9,94.35E-9,96.67E-9,99.03E-9,101.4E-9
600.0E-9,93.08E-9,95.11E-9,97.29E-9,99.54E-9,101.9E-9,104.2E-9
