VBBP_val ,INV_delay_avg VBBN_val 0 ,INV_delay_avg VBBN_val 0.45 ,INV_delay_avg VBBN_val 0.9 ,INV_delay_avg VBBN_val 1.35 ,INV_delay_avg VBBN_val 1.8 
-1.800,38.01E-12,32.52E-12,28.42E-12,25.15E-12,22.38E-12
-1.650,38.99E-12,33.43E-12,29.31E-12,26.00E-12,23.16E-12
-1.500,39.99E-12,34.40E-12,30.21E-12,26.85E-12,23.99E-12
-1.350,41.01E-12,35.37E-12,31.16E-12,27.75E-12,24.85E-12
-1.200,42.08E-12,36.40E-12,32.14E-12,28.70E-12,25.75E-12
-1.050,43.18E-12,37.46E-12,33.18E-12,29.70E-12,26.72E-12
-900.0E-3,44.36E-12,38.59E-12,34.27E-12,30.76E-12,27.75E-12
-750.0E-3,45.61E-12,39.79E-12,35.44E-12,31.89E-12,28.86E-12
-600.0E-3,46.95E-12,41.07E-12,36.68E-12,33.11E-12,30.03E-12
-450.0E-3,48.39E-12,42.46E-12,38.04E-12,34.43E-12,31.31E-12
-300.0E-3,49.94E-12,43.98E-12,39.50E-12,35.86E-12,32.71E-12
-150.0E-3,51.66E-12,45.63E-12,41.11E-12,37.41E-12,34.23E-12
0.000,53.54E-12,47.46E-12,42.89E-12,39.17E-12,35.92E-12
