VBBP_val ,INV_in_f_out_r_delay VBBN_val 0 ,INV_in_f_out_r_delay VBBN_val 0.45 ,INV_in_f_out_r_delay VBBN_val 0.9 ,INV_in_f_out_r_delay VBBN_val 1.35 ,INV_in_f_out_r_delay VBBN_val 1.8 
-1.800,21.39E-12,21.17E-12,20.98E-12,20.92E-12,20.99E-12
-1.650,23.24E-12,22.94E-12,22.74E-12,22.65E-12,22.63E-12
-1.500,25.08E-12,24.80E-12,24.52E-12,24.36E-12,24.33E-12
-1.350,26.98E-12,26.64E-12,26.36E-12,26.16E-12,26.08E-12
-1.200,28.93E-12,28.60E-12,28.26E-12,28.02E-12,27.90E-12
-1.050,30.94E-12,30.59E-12,30.26E-12,29.97E-12,29.82E-12
-900.0E-3,33.10E-12,32.72E-12,32.36E-12,32.04E-12,31.86E-12
-750.0E-3,35.38E-12,34.97E-12,34.59E-12,34.22E-12,34.02E-12
-600.0E-3,37.84E-12,37.40E-12,36.97E-12,36.58E-12,36.31E-12
-450.0E-3,40.52E-12,40.02E-12,39.57E-12,39.14E-12,38.80E-12
-300.0E-3,43.40E-12,42.89E-12,42.38E-12,41.91E-12,41.54E-12
-150.0E-3,46.62E-12,46.06E-12,45.48E-12,44.91E-12,44.50E-12
0.000,50.16E-12,49.56E-12,48.92E-12,48.33E-12,47.81E-12
