VBBP_val ,INV_delay_diff VBBN_val 0 ,INV_delay_diff VBBN_val 0.45 ,INV_delay_diff VBBN_val 0.9 ,INV_delay_diff VBBN_val 1.35 ,INV_delay_diff VBBN_val 1.8 
-1.800,2.018E-12,1.571E-12,1.142E-12,730.9E-15,331.3E-15
-1.650,1.877E-12,1.428E-12,1.001E-12,586.5E-15,191.4E-15
-1.500,1.736E-12,1.288E-12,857.0E-15,444.7E-15,48.62E-15
-1.350,1.596E-12,1.148E-12,715.9E-15,303.3E-15,-94.40E-15
-1.200,1.454E-12,1.005E-12,573.8E-15,161.0E-15,-237.8E-15
-1.050,1.313E-12,861.1E-15,429.1E-15,15.70E-15,-387.8E-15
-900.0E-3,1.167E-12,716.1E-15,282.3E-15,-131.4E-15,-532.3E-15
-750.0E-3,1.022E-12,569.4E-15,134.5E-15,-279.7E-15,-679.2E-15
-600.0E-3,875.9E-15,419.9E-15,-13.98E-15,-429.5E-15,-829.9E-15
-450.0E-3,723.1E-15,263.8E-15,-166.0E-15,-581.5E-15,-981.2E-15
-300.0E-3,567.4E-15,113.3E-15,-323.5E-15,-740.5E-15,-1.135E-12
-150.0E-3,410.4E-15,-46.37E-15,-482.0E-15,-895.2E-15,-1.296E-12
0.000,250.5E-15,-206.2E-15,-644.0E-15,-1.059E-12,-1.458E-12
