VBBP_val ,INV_in_r_out_f_delay VBBN_val 0 ,INV_in_r_out_f_delay VBBN_val 0.45 ,INV_in_r_out_f_delay VBBN_val 0.9 ,INV_in_r_out_f_delay VBBN_val 1.35 ,INV_in_r_out_f_delay VBBN_val 1.8 
-1.800,6.539E-12,6.102E-12,5.691E-12,5.306E-12,4.946E-12
-1.650,6.534E-12,6.095E-12,5.681E-12,5.293E-12,4.930E-12
-1.500,6.530E-12,6.089E-12,5.672E-12,5.282E-12,4.916E-12
-1.350,6.529E-12,6.086E-12,5.666E-12,5.273E-12,4.904E-12
-1.200,6.530E-12,6.084E-12,5.661E-12,5.265E-12,4.894E-12
-1.050,6.532E-12,6.083E-12,5.658E-12,5.260E-12,4.886E-12
-900.0E-3,6.535E-12,6.083E-12,5.656E-12,5.255E-12,4.878E-12
-750.0E-3,6.539E-12,6.085E-12,5.655E-12,5.252E-12,4.872E-12
-600.0E-3,6.544E-12,6.087E-12,5.656E-12,5.251E-12,4.868E-12
-450.0E-3,6.550E-12,6.091E-12,5.657E-12,5.249E-12,4.865E-12
-300.0E-3,6.556E-12,6.096E-12,5.660E-12,5.249E-12,4.863E-12
-150.0E-3,6.563E-12,6.101E-12,5.662E-12,5.250E-12,4.861E-12
0.000,6.571E-12,6.107E-12,5.666E-12,5.251E-12,4.861E-12
