pw ,INV_in_r_out_f_delay nw 8e-08 ,INV_in_r_out_f_delay nw 1.2e-07 ,INV_in_r_out_f_delay nw 1.6e-07 ,INV_in_r_out_f_delay nw 2e-07 ,INV_in_r_out_f_delay nw 2.4e-07 ,INV_in_r_out_f_delay nw 2.8e-07 
160.0E-9,52.02E-12,47.59E-12,45.14E-12,43.70E-12,42.84E-12,42.35E-12
200.0E-9,54.66E-12,49.85E-12,47.17E-12,45.54E-12,44.56E-12,43.98E-12
240.0E-9,57.26E-12,52.07E-12,49.15E-12,47.36E-12,46.26E-12,45.58E-12
280.0E-9,59.81E-12,54.27E-12,51.12E-12,49.16E-12,47.94E-12,47.16E-12
320.0E-9,62.35E-12,56.46E-12,53.05E-12,50.95E-12,49.61E-12,48.73E-12
360.0E-9,64.87E-12,58.63E-12,54.99E-12,52.73E-12,51.26E-12,50.30E-12
400.0E-9,67.38E-12,60.76E-12,56.92E-12,54.49E-12,52.91E-12,51.86E-12
440.0E-9,69.87E-12,62.90E-12,58.84E-12,56.26E-12,54.56E-12,53.42E-12
480.0E-9,72.34E-12,65.03E-12,60.75E-12,58.03E-12,56.23E-12,54.98E-12
520.0E-9,74.81E-12,67.16E-12,62.66E-12,59.77E-12,57.86E-12,56.53E-12
560.0E-9,77.27E-12,69.28E-12,64.56E-12,61.53E-12,59.49E-12,58.08E-12
600.0E-9,79.72E-12,71.40E-12,66.45E-12,63.27E-12,61.11E-12,59.62E-12
