pw ,INV_delay_avg nw 8e-08 ,INV_delay_avg nw 1.2e-07 ,INV_delay_avg nw 1.6e-07 ,INV_delay_avg nw 2e-07 ,INV_delay_avg nw 2.4e-07 ,INV_delay_avg nw 2.8e-07 
160.0E-9,7.824E-12,7.363E-12,7.215E-12,7.195E-12,7.241E-12,7.329E-12
200.0E-9,7.537E-12,7.006E-12,6.811E-12,6.752E-12,6.764E-12,6.816E-12
240.0E-9,7.421E-12,6.831E-12,6.593E-12,6.504E-12,6.488E-12,6.515E-12
280.0E-9,7.393E-12,6.750E-12,6.480E-12,6.363E-12,6.325E-12,6.333E-12
320.0E-9,7.424E-12,6.734E-12,6.432E-12,6.292E-12,6.235E-12,6.225E-12
360.0E-9,7.491E-12,6.755E-12,6.426E-12,6.263E-12,6.190E-12,6.166E-12
400.0E-9,7.585E-12,6.804E-12,6.446E-12,6.266E-12,6.176E-12,6.140E-12
440.0E-9,7.694E-12,6.871E-12,6.490E-12,6.291E-12,6.188E-12,6.138E-12
480.0E-9,7.816E-12,6.953E-12,6.548E-12,6.333E-12,6.214E-12,6.153E-12
520.0E-9,7.950E-12,7.049E-12,6.619E-12,6.387E-12,6.254E-12,6.182E-12
560.0E-9,8.091E-12,7.147E-12,6.697E-12,6.450E-12,6.304E-12,6.225E-12
600.0E-9,8.237E-12,7.257E-12,6.784E-12,6.518E-12,6.362E-12,6.273E-12
