pw ,INV_delay_diff nw 8e-08 ,INV_delay_diff nw 1.2e-07 ,INV_delay_diff nw 1.6e-07 ,INV_delay_diff nw 2e-07 ,INV_delay_diff nw 2.4e-07 ,INV_delay_diff nw 2.8e-07 
160.0E-9,-1.290E-12,-2.911E-12,-3.884E-12,-4.596E-12,-5.171E-12,-5.676E-12
200.0E-9,-18.90E-15,-1.663E-12,-2.632E-12,-3.319E-12,-3.867E-12,-4.329E-12
240.0E-9,896.4E-15,-787.4E-15,-1.756E-12,-2.439E-12,-2.968E-12,-3.412E-12
280.0E-9,1.624E-12,-109.6E-15,-1.096E-12,-1.777E-12,-2.301E-12,-2.734E-12
320.0E-9,2.223E-12,435.5E-15,-572.1E-15,-1.258E-12,-1.780E-12,-2.208E-12
360.0E-9,2.746E-12,899.2E-15,-133.1E-15,-825.4E-15,-1.352E-12,-1.780E-12
400.0E-9,3.207E-12,1.303E-12,250.5E-15,-457.2E-15,-989.8E-15,-1.418E-12
440.0E-9,3.633E-12,1.669E-12,584.5E-15,-136.1E-15,-676.5E-15,-1.106E-12
480.0E-9,4.028E-12,2.001E-12,888.1E-15,150.9E-15,-395.0E-15,-828.0E-15
520.0E-9,4.398E-12,2.306E-12,1.165E-12,412.4E-15,-141.1E-15,-578.5E-15
560.0E-9,4.748E-12,2.603E-12,1.428E-12,653.6E-15,94.60E-15,-355.8E-15
600.0E-9,5.086E-12,2.877E-12,1.672E-12,886.6E-15,312.4E-15,-141.8E-15
