pw ,INV_in_f_out_r_delay nw 8e-08 ,INV_in_f_out_r_delay nw 1.2e-07 ,INV_in_f_out_r_delay nw 1.6e-07 ,INV_in_f_out_r_delay nw 2e-07 ,INV_in_f_out_r_delay nw 2.4e-07 ,INV_in_f_out_r_delay nw 2.8e-07 
160.0E-9,8.469E-12,8.819E-12,9.157E-12,9.493E-12,9.827E-12,10.17E-12
200.0E-9,7.546E-12,7.838E-12,8.127E-12,8.412E-12,8.698E-12,8.980E-12
240.0E-9,6.973E-12,7.224E-12,7.472E-12,7.724E-12,7.972E-12,8.221E-12
280.0E-9,6.581E-12,6.805E-12,7.028E-12,7.251E-12,7.475E-12,7.700E-12
320.0E-9,6.312E-12,6.516E-12,6.718E-12,6.921E-12,7.125E-12,7.329E-12
360.0E-9,6.118E-12,6.305E-12,6.492E-12,6.676E-12,6.866E-12,7.056E-12
400.0E-9,5.981E-12,6.152E-12,6.320E-12,6.494E-12,6.671E-12,6.849E-12
440.0E-9,5.877E-12,6.037E-12,6.197E-12,6.359E-12,6.526E-12,6.691E-12
480.0E-9,5.802E-12,5.953E-12,6.104E-12,6.257E-12,6.412E-12,6.567E-12
520.0E-9,5.751E-12,5.896E-12,6.036E-12,6.180E-12,6.325E-12,6.472E-12
560.0E-9,5.717E-12,5.846E-12,5.983E-12,6.123E-12,6.256E-12,6.403E-12
600.0E-9,5.694E-12,5.819E-12,5.948E-12,6.075E-12,6.206E-12,6.344E-12
