pw ,diode_A_f_O_f nw 8e-08 ,diode_A_f_O_f nw 1.2e-07 ,diode_A_f_O_f nw 1.6e-07 ,diode_A_f_O_f nw 2e-07 ,diode_A_f_O_f nw 2.4e-07 ,diode_A_f_O_f nw 2.8e-07 
160.0E-9,570.9E-12,615.2E-12,657.0E-12,698.3E-12,739.3E-12,780.4E-12
200.0E-9,523.6E-12,560.7E-12,595.8E-12,630.7E-12,665.5E-12,700.3E-12
240.0E-9,489.1E-12,520.6E-12,550.6E-12,580.8E-12,611.0E-12,641.3E-12
280.0E-9,463.1E-12,490.3E-12,516.4E-12,542.7E-12,569.4E-12,596.1E-12
320.0E-9,443.0E-12,466.8E-12,489.6E-12,512.9E-12,536.6E-12,560.5E-12
360.0E-9,427.3E-12,448.1E-12,468.3E-12,489.1E-12,510.4E-12,532.0E-12
400.0E-9,414.6E-12,433.1E-12,451.0E-12,469.7E-12,489.0E-12,508.7E-12
440.0E-9,404.4E-12,420.7E-12,436.9E-12,453.7E-12,471.3E-12,489.3E-12
480.0E-9,396.0E-12,410.6E-12,425.1E-12,440.4E-12,456.5E-12,473.1E-12
520.0E-9,389.1E-12,402.2E-12,415.2E-12,429.2E-12,444.0E-12,459.3E-12
560.0E-9,383.5E-12,395.1E-12,406.9E-12,419.7E-12,433.3E-12,447.5E-12
600.0E-9,378.8E-12,389.2E-12,399.9E-12,411.6E-12,424.2E-12,437.4E-12
