pw ,diode_A_r_O_r nw 8e-08 ,diode_A_r_O_r nw 1.2e-07 ,diode_A_r_O_r nw 1.6e-07 ,diode_A_r_O_r nw 2e-07 ,diode_A_r_O_r nw 2.4e-07 ,diode_A_r_O_r nw 2.8e-07 
160.0E-9,255.2E-12,255.1E-12,253.7E-12,252.8E-12,252.6E-12,252.7E-12
200.0E-9,245.9E-12,245.4E-12,243.9E-12,242.9E-12,242.6E-12,242.9E-12
240.0E-9,240.9E-12,239.6E-12,237.5E-12,236.4E-12,236.1E-12,236.4E-12
280.0E-9,238.8E-12,236.5E-12,233.7E-12,232.1E-12,231.7E-12,232.1E-12
320.0E-9,238.7E-12,235.4E-12,231.8E-12,229.7E-12,229.0E-12,229.2E-12
360.0E-9,240.1E-12,235.8E-12,231.3E-12,228.7E-12,227.6E-12,227.5E-12
400.0E-9,242.6E-12,237.2E-12,232.1E-12,228.7E-12,227.1E-12,226.7E-12
440.0E-9,245.8E-12,239.6E-12,233.5E-12,229.6E-12,227.6E-12,226.7E-12
480.0E-9,249.7E-12,242.5E-12,235.7E-12,231.1E-12,228.5E-12,227.4E-12
520.0E-9,254.0E-12,245.9E-12,238.3E-12,233.2E-12,230.1E-12,228.5E-12
560.0E-9,258.5E-12,249.7E-12,241.4E-12,235.6E-12,232.1E-12,230.1E-12
600.0E-9,263.5E-12,253.9E-12,244.7E-12,238.4E-12,234.4E-12,232.0E-12
