pw ,diode_B_f_O_f nw 8e-08 ,diode_B_f_O_f nw 1.2e-07 ,diode_B_f_O_f nw 1.6e-07 ,diode_B_f_O_f nw 2e-07 ,diode_B_f_O_f nw 2.4e-07 ,diode_B_f_O_f nw 2.8e-07 
160.0E-9,552.3E-12,590.6E-12,626.6E-12,662.3E-12,697.9E-12,733.6E-12
200.0E-9,507.8E-12,539.6E-12,569.6E-12,599.6E-12,629.8E-12,660.1E-12
240.0E-9,475.3E-12,502.1E-12,527.6E-12,553.3E-12,579.4E-12,605.7E-12
280.0E-9,450.7E-12,473.7E-12,495.7E-12,518.1E-12,540.9E-12,564.0E-12
320.0E-9,431.7E-12,451.6E-12,470.7E-12,490.4E-12,510.6E-12,531.2E-12
360.0E-9,416.8E-12,434.1E-12,450.8E-12,468.3E-12,486.3E-12,504.8E-12
400.0E-9,404.8E-12,419.9E-12,434.7E-12,450.3E-12,466.5E-12,483.3E-12
440.0E-9,395.1E-12,408.3E-12,421.4E-12,435.4E-12,450.1E-12,465.4E-12
480.0E-9,387.1E-12,398.8E-12,410.4E-12,423.0E-12,436.4E-12,450.4E-12
520.0E-9,380.5E-12,390.8E-12,401.1E-12,412.6E-12,424.8E-12,437.7E-12
560.0E-9,375.1E-12,384.1E-12,393.4E-12,403.7E-12,414.9E-12,426.8E-12
600.0E-9,370.7E-12,378.5E-12,386.8E-12,396.1E-12,406.5E-12,417.5E-12
