pw ,diode_B_r_O_r nw 8e-08 ,diode_B_r_O_r nw 1.2e-07 ,diode_B_r_O_r nw 1.6e-07 ,diode_B_r_O_r nw 2e-07 ,diode_B_r_O_r nw 2.4e-07 ,diode_B_r_O_r nw 2.8e-07 
160.0E-9,260.7E-12,260.3E-12,258.1E-12,255.8E-12,253.8E-12,251.9E-12
200.0E-9,252.4E-12,251.8E-12,249.9E-12,248.3E-12,247.1E-12,245.9E-12
240.0E-9,248.2E-12,246.8E-12,244.5E-12,243.2E-12,242.4E-12,241.9E-12
280.0E-9,247.0E-12,244.6E-12,241.6E-12,239.9E-12,239.1E-12,238.9E-12
320.0E-9,247.7E-12,244.4E-12,240.5E-12,238.2E-12,237.2E-12,237.0E-12
360.0E-9,249.8E-12,245.5E-12,240.8E-12,237.9E-12,236.5E-12,236.1E-12
400.0E-9,253.0E-12,247.7E-12,242.2E-12,238.6E-12,236.7E-12,236.0E-12
440.0E-9,257.0E-12,250.7E-12,244.4E-12,240.2E-12,237.8E-12,236.7E-12
480.0E-9,261.5E-12,254.4E-12,247.2E-12,242.4E-12,239.4E-12,237.9E-12
520.0E-9,266.6E-12,258.5E-12,250.6E-12,245.0E-12,241.6E-12,239.7E-12
560.0E-9,272.0E-12,263.0E-12,254.3E-12,248.2E-12,244.2E-12,241.9E-12
600.0E-9,277.6E-12,267.9E-12,258.4E-12,251.6E-12,247.1E-12,244.5E-12
