pw ,diode_delay_avg nw 8e-08 ,diode_delay_avg nw 1.2e-07 ,diode_delay_avg nw 1.6e-07 ,diode_delay_avg nw 2e-07 ,diode_delay_avg nw 2.4e-07 ,diode_delay_avg nw 2.8e-07 
160.0E-9,399.1E-12,417.9E-12,434.6E-12,451.3E-12,468.1E-12,485.0E-12
200.0E-9,372.6E-12,387.9E-12,401.8E-12,415.8E-12,430.2E-12,444.7E-12
240.0E-9,354.1E-12,366.6E-12,378.0E-12,390.0E-12,402.4E-12,415.2E-12
280.0E-9,341.1E-12,351.2E-12,360.5E-12,370.6E-12,381.4E-12,392.7E-12
320.0E-9,331.8E-12,340.0E-12,347.4E-12,355.9E-12,365.3E-12,375.3E-12
360.0E-9,325.3E-12,331.7E-12,337.6E-12,344.7E-12,352.8E-12,361.7E-12
400.0E-9,320.7E-12,325.6E-12,330.1E-12,336.0E-12,343.0E-12,350.9E-12
440.0E-9,317.7E-12,321.2E-12,324.5E-12,329.3E-12,335.4E-12,342.3E-12
480.0E-9,315.9E-12,318.1E-12,320.4E-12,324.2E-12,329.3E-12,335.4E-12
520.0E-9,314.9E-12,316.1E-12,317.3E-12,320.2E-12,324.6E-12,329.9E-12
560.0E-9,314.7E-12,314.9E-12,315.2E-12,317.3E-12,320.9E-12,325.6E-12
600.0E-9,315.2E-12,314.4E-12,313.8E-12,315.2E-12,318.1E-12,322.2E-12
