pw ,static_A_delay_avg nw 8e-08 ,static_A_delay_avg nw 1.2e-07 ,static_A_delay_avg nw 1.6e-07 ,static_A_delay_avg nw 2e-07 ,static_A_delay_avg nw 2.4e-07 ,static_A_delay_avg nw 2.8e-07 
160.0E-9,450.1E-12,472.5E-12,493.0E-12,513.7E-12,534.6E-12,555.6E-12
200.0E-9,437.8E-12,454.9E-12,470.7E-12,487.4E-12,504.7E-12,522.4E-12
240.0E-9,431.4E-12,444.1E-12,456.0E-12,469.2E-12,483.6E-12,498.7E-12
280.0E-9,428.8E-12,437.9E-12,446.5E-12,456.8E-12,468.7E-12,481.5E-12
320.0E-9,429.0E-12,434.9E-12,440.6E-12,448.5E-12,458.1E-12,468.9E-12
360.0E-9,431.1E-12,434.1E-12,437.4E-12,443.0E-12,450.7E-12,459.9E-12
400.0E-9,434.7E-12,435.1E-12,436.1E-12,439.8E-12,445.7E-12,453.3E-12
440.0E-9,439.4E-12,437.5E-12,436.3E-12,438.2E-12,442.6E-12,448.7E-12
480.0E-9,445.1E-12,440.8E-12,437.7E-12,437.9E-12,440.9E-12,445.8E-12
520.0E-9,451.4E-12,445.0E-12,440.1E-12,438.7E-12,440.4E-12,444.1E-12
560.0E-9,458.2E-12,449.9E-12,443.2E-12,440.4E-12,440.8E-12,443.4E-12
600.0E-9,465.6E-12,455.3E-12,446.9E-12,442.7E-12,441.9E-12,443.5E-12
