pw ,static_B_delay_avg nw 8e-08 ,static_B_delay_avg nw 1.2e-07 ,static_B_delay_avg nw 1.6e-07 ,static_B_delay_avg nw 2e-07 ,static_B_delay_avg nw 2.4e-07 ,static_B_delay_avg nw 2.8e-07 
160.0E-9,437.6E-12,457.0E-12,474.5E-12,492.0E-12,509.2E-12,526.2E-12
200.0E-9,426.8E-12,441.4E-12,454.7E-12,468.8E-12,483.4E-12,498.1E-12
240.0E-9,421.4E-12,432.0E-12,441.7E-12,452.8E-12,465.0E-12,477.7E-12
280.0E-9,419.7E-12,426.8E-12,433.6E-12,442.0E-12,452.0E-12,462.8E-12
320.0E-9,420.4E-12,424.7E-12,428.7E-12,434.9E-12,442.8E-12,452.0E-12
360.0E-9,423.0E-12,424.6E-12,426.3E-12,430.4E-12,436.6E-12,444.2E-12
400.0E-9,427.0E-12,426.1E-12,425.7E-12,428.0E-12,432.6E-12,438.7E-12
440.0E-9,432.0E-12,428.9E-12,426.5E-12,427.1E-12,430.2E-12,435.1E-12
480.0E-9,437.8E-12,432.6E-12,428.4E-12,427.4E-12,429.2E-12,432.9E-12
520.0E-9,444.3E-12,437.1E-12,431.1E-12,428.7E-12,429.3E-12,431.9E-12
560.0E-9,451.3E-12,442.2E-12,434.5E-12,430.8E-12,430.2E-12,431.7E-12
600.0E-9,458.7E-12,447.7E-12,438.6E-12,433.5E-12,431.7E-12,432.4E-12
