pw ,static_C_delay_avg nw 8e-08 ,static_C_delay_avg nw 1.2e-07 ,static_C_delay_avg nw 1.6e-07 ,static_C_delay_avg nw 2e-07 ,static_C_delay_avg nw 2.4e-07 ,static_C_delay_avg nw 2.8e-07 
160.0E-9,419.0E-12,437.4E-12,454.1E-12,471.1E-12,488.3E-12,505.2E-12
200.0E-9,408.4E-12,421.9E-12,434.3E-12,447.6E-12,461.8E-12,476.3E-12
240.0E-9,403.2E-12,412.8E-12,421.6E-12,431.8E-12,443.2E-12,455.5E-12
280.0E-9,401.7E-12,407.9E-12,413.6E-12,421.1E-12,430.2E-12,440.5E-12
320.0E-9,402.7E-12,405.9E-12,409.0E-12,414.2E-12,421.3E-12,429.7E-12
360.0E-9,405.5E-12,406.1E-12,406.8E-12,410.1E-12,415.3E-12,422.2E-12
400.0E-9,409.7E-12,407.9E-12,406.5E-12,407.9E-12,411.6E-12,417.0E-12
440.0E-9,414.9E-12,410.9E-12,407.5E-12,407.3E-12,409.5E-12,413.6E-12
480.0E-9,420.9E-12,414.8E-12,409.7E-12,407.8E-12,408.8E-12,411.8E-12
520.0E-9,427.6E-12,419.5E-12,412.7E-12,409.4E-12,409.1E-12,411.0E-12
560.0E-9,434.8E-12,424.9E-12,416.4E-12,411.8E-12,410.3E-12,411.2E-12
600.0E-9,442.4E-12,430.7E-12,420.6E-12,414.7E-12,412.3E-12,412.2E-12
