pw ,static_delay_avg nw 8e-08 ,static_delay_avg nw 1.2e-07 ,static_delay_avg nw 1.6e-07 ,static_delay_avg nw 2e-07 ,static_delay_avg nw 2.4e-07 ,static_delay_avg nw 2.8e-07 
160.0E-9,435.6E-12,455.6E-12,473.9E-12,492.3E-12,510.7E-12,529.0E-12
200.0E-9,424.3E-12,439.4E-12,453.2E-12,467.9E-12,483.3E-12,498.9E-12
240.0E-9,418.7E-12,429.6E-12,439.8E-12,451.3E-12,463.9E-12,477.3E-12
280.0E-9,416.7E-12,424.2E-12,431.2E-12,440.0E-12,450.3E-12,461.6E-12
320.0E-9,417.4E-12,421.8E-12,426.1E-12,432.5E-12,440.7E-12,450.2E-12
360.0E-9,419.9E-12,421.6E-12,423.5E-12,427.8E-12,434.2E-12,442.1E-12
400.0E-9,423.8E-12,423.0E-12,422.8E-12,425.2E-12,430.0E-12,436.3E-12
440.0E-9,428.8E-12,425.8E-12,423.5E-12,424.2E-12,427.5E-12,432.5E-12
480.0E-9,434.6E-12,429.4E-12,425.3E-12,424.4E-12,426.3E-12,430.2E-12
520.0E-9,441.1E-12,433.9E-12,427.9E-12,425.6E-12,426.2E-12,429.0E-12
560.0E-9,448.1E-12,439.0E-12,431.4E-12,427.7E-12,427.1E-12,428.8E-12
600.0E-9,455.5E-12,444.6E-12,435.4E-12,430.3E-12,428.6E-12,429.4E-12
