pw ,diode_A_delay_avg nw 8e-08 ,diode_A_delay_avg nw 1.2e-07 ,diode_A_delay_avg nw 1.6e-07 ,diode_A_delay_avg nw 2e-07 ,diode_A_delay_avg nw 2.4e-07 ,diode_A_delay_avg nw 2.8e-07 
160.0E-9,46.18E-12,45.31E-12,45.51E-12,46.25E-12,47.30E-12,48.54E-12
200.0E-9,42.96E-12,41.65E-12,41.49E-12,41.91E-12,42.66E-12,43.59E-12
240.0E-9,41.00E-12,39.33E-12,38.89E-12,39.06E-12,39.58E-12,40.30E-12
280.0E-9,39.77E-12,37.80E-12,37.12E-12,37.09E-12,37.43E-12,37.98E-12
320.0E-9,39.01E-12,36.77E-12,35.89E-12,35.70E-12,35.88E-12,36.29E-12
360.0E-9,38.56E-12,36.08E-12,35.02E-12,34.68E-12,34.74E-12,35.03E-12
400.0E-9,38.32E-12,35.63E-12,34.41E-12,33.94E-12,33.89E-12,34.09E-12
440.0E-9,38.25E-12,35.35E-12,33.99E-12,33.41E-12,33.25E-12,33.36E-12
480.0E-9,38.30E-12,35.20E-12,33.71E-12,33.02E-12,32.78E-12,32.81E-12
520.0E-9,38.43E-12,35.16E-12,33.54E-12,32.75E-12,32.43E-12,32.39E-12
560.0E-9,38.64E-12,35.19E-12,33.45E-12,32.58E-12,32.17E-12,32.07E-12
600.0E-9,38.90E-12,35.29E-12,33.44E-12,32.47E-12,32.00E-12,31.83E-12
