pw ,diode_B_delay_avg nw 8e-08 ,diode_B_delay_avg nw 1.2e-07 ,diode_B_delay_avg nw 1.6e-07 ,diode_B_delay_avg nw 2e-07 ,diode_B_delay_avg nw 2.4e-07 ,diode_B_delay_avg nw 2.8e-07 
160.0E-9,45.95E-12,44.61E-12,44.43E-12,44.87E-12,45.64E-12,46.61E-12
200.0E-9,42.98E-12,41.22E-12,40.71E-12,40.84E-12,41.33E-12,42.03E-12
240.0E-9,41.23E-12,39.11E-12,38.33E-12,38.22E-12,38.49E-12,38.99E-12
280.0E-9,40.16E-12,37.75E-12,36.74E-12,36.44E-12,36.54E-12,36.88E-12
320.0E-9,39.55E-12,36.87E-12,35.66E-12,35.20E-12,35.15E-12,35.36E-12
360.0E-9,39.23E-12,36.30E-12,34.92E-12,34.32E-12,34.15E-12,34.24E-12
400.0E-9,39.12E-12,35.97E-12,34.42E-12,33.69E-12,33.41E-12,33.42E-12
440.0E-9,39.17E-12,35.80E-12,34.11E-12,33.26E-12,32.88E-12,32.80E-12
480.0E-9,39.32E-12,35.76E-12,33.92E-12,32.97E-12,32.50E-12,32.34E-12
520.0E-9,39.57E-12,35.81E-12,33.84E-12,32.79E-12,32.24E-12,32.01E-12
560.0E-9,39.88E-12,35.93E-12,33.84E-12,32.70E-12,32.07E-12,31.78E-12
600.0E-9,40.24E-12,36.11E-12,33.91E-12,32.67E-12,31.98E-12,31.62E-12
