pw ,diode_C_delay_avg nw 8e-08 ,diode_C_delay_avg nw 1.2e-07 ,diode_C_delay_avg nw 1.6e-07 ,diode_C_delay_avg nw 2e-07 ,diode_C_delay_avg nw 2.4e-07 ,diode_C_delay_avg nw 2.8e-07 
160.0E-9,42.19E-12,40.45E-12,39.85E-12,39.85E-12,40.19E-12,40.72E-12
200.0E-9,39.38E-12,37.31E-12,36.46E-12,36.23E-12,36.36E-12,36.68E-12
240.0E-9,37.71E-12,35.35E-12,34.29E-12,33.88E-12,33.84E-12,34.02E-12
280.0E-9,36.68E-12,34.08E-12,32.84E-12,32.28E-12,32.10E-12,32.16E-12
320.0E-9,36.07E-12,33.25E-12,31.85E-12,31.16E-12,30.87E-12,30.83E-12
360.0E-9,35.73E-12,32.71E-12,31.16E-12,30.36E-12,29.98E-12,29.86E-12
400.0E-9,35.60E-12,32.39E-12,30.71E-12,29.81E-12,29.34E-12,29.14E-12
440.0E-9,35.61E-12,32.22E-12,30.41E-12,29.42E-12,28.87E-12,28.61E-12
480.0E-9,35.72E-12,32.16E-12,30.24E-12,29.16E-12,28.54E-12,28.21E-12
520.0E-9,35.92E-12,32.19E-12,30.17E-12,29.00E-12,28.32E-12,27.94E-12
560.0E-9,36.18E-12,32.29E-12,30.17E-12,28.92E-12,28.18E-12,27.74E-12
600.0E-9,36.49E-12,32.45E-12,30.22E-12,28.91E-12,28.11E-12,27.62E-12
