pw ,diode_C_f_O_f nw 8e-08 ,diode_C_f_O_f nw 1.2e-07 ,diode_C_f_O_f nw 1.6e-07 ,diode_C_f_O_f nw 2e-07 ,diode_C_f_O_f nw 2.4e-07 ,diode_C_f_O_f nw 2.8e-07 
160.0E-9,49.91E-12,49.20E-12,49.56E-12,50.47E-12,51.68E-12,53.06E-12
200.0E-9,45.48E-12,44.39E-12,44.44E-12,45.04E-12,45.94E-12,47.01E-12
240.0E-9,42.58E-12,41.19E-12,40.98E-12,41.35E-12,42.02E-12,42.88E-12
280.0E-9,40.56E-12,38.94E-12,38.53E-12,38.71E-12,39.21E-12,39.90E-12
320.0E-9,39.11E-12,37.30E-12,36.73E-12,36.76E-12,37.11E-12,37.66E-12
360.0E-9,38.05E-12,36.07E-12,35.36E-12,35.26E-12,35.51E-12,35.95E-12
400.0E-9,37.27E-12,35.14E-12,34.31E-12,34.11E-12,34.25E-12,34.60E-12
440.0E-9,36.69E-12,34.43E-12,33.49E-12,33.20E-12,33.26E-12,33.53E-12
480.0E-9,36.27E-12,33.88E-12,32.85E-12,32.48E-12,32.46E-12,32.66E-12
520.0E-9,35.96E-12,33.45E-12,32.34E-12,31.90E-12,31.82E-12,31.96E-12
560.0E-9,35.74E-12,33.13E-12,31.95E-12,31.43E-12,31.30E-12,31.38E-12
600.0E-9,35.60E-12,32.90E-12,31.64E-12,31.06E-12,30.87E-12,30.91E-12
