pw ,diode_C_r_O_r nw 8e-08 ,diode_C_r_O_r nw 1.2e-07 ,diode_C_r_O_r nw 1.6e-07 ,diode_C_r_O_r nw 2e-07 ,diode_C_r_O_r nw 2.4e-07 ,diode_C_r_O_r nw 2.8e-07 
160.0E-9,34.47E-12,31.70E-12,30.14E-12,29.23E-12,28.69E-12,28.37E-12
200.0E-9,33.29E-12,30.23E-12,28.48E-12,27.43E-12,26.77E-12,26.36E-12
240.0E-9,32.84E-12,29.51E-12,27.59E-12,26.41E-12,25.65E-12,25.16E-12
280.0E-9,32.80E-12,29.22E-12,27.14E-12,25.84E-12,25.00E-12,24.43E-12
320.0E-9,33.03E-12,29.20E-12,26.96E-12,25.56E-12,24.63E-12,24.00E-12
360.0E-9,33.42E-12,29.36E-12,26.97E-12,25.46E-12,24.46E-12,23.77E-12
400.0E-9,33.93E-12,29.64E-12,27.11E-12,25.50E-12,24.42E-12,23.67E-12
440.0E-9,34.52E-12,30.01E-12,27.34E-12,25.64E-12,24.49E-12,23.68E-12
480.0E-9,35.17E-12,30.44E-12,27.64E-12,25.84E-12,24.63E-12,23.77E-12
520.0E-9,35.87E-12,30.93E-12,27.99E-12,26.11E-12,24.82E-12,23.91E-12
560.0E-9,36.61E-12,31.45E-12,28.39E-12,26.41E-12,25.06E-12,24.10E-12
600.0E-9,37.38E-12,32.01E-12,28.81E-12,26.75E-12,25.34E-12,24.33E-12
