pw ,diode_power_avg nw 8e-08 ,diode_power_avg nw 1.2e-07 ,diode_power_avg nw 1.6e-07 ,diode_power_avg nw 2e-07 ,diode_power_avg nw 2.4e-07 ,diode_power_avg nw 2.8e-07 
160.0E-9,1.059E-6,1.115E-6,1.171E-6,1.228E-6,1.286E-6,1.343E-6
200.0E-9,1.098E-6,1.153E-6,1.209E-6,1.266E-6,1.323E-6,1.380E-6
240.0E-9,1.138E-6,1.193E-6,1.249E-6,1.305E-6,1.362E-6,1.419E-6
280.0E-9,1.179E-6,1.233E-6,1.288E-6,1.345E-6,1.401E-6,1.458E-6
320.0E-9,1.220E-6,1.273E-6,1.328E-6,1.384E-6,1.440E-6,1.497E-6
360.0E-9,1.260E-6,1.314E-6,1.369E-6,1.424E-6,1.480E-6,1.536E-6
400.0E-9,1.301E-6,1.354E-6,1.409E-6,1.464E-6,1.520E-6,1.576E-6
440.0E-9,1.342E-6,1.395E-6,1.449E-6,1.504E-6,1.560E-6,1.616E-6
480.0E-9,1.383E-6,1.435E-6,1.489E-6,1.544E-6,1.600E-6,1.655E-6
520.0E-9,1.424E-6,1.476E-6,1.529E-6,1.584E-6,1.640E-6,1.695E-6
560.0E-9,1.465E-6,1.516E-6,1.570E-6,1.624E-6,1.679E-6,1.735E-6
600.0E-9,1.506E-6,1.556E-6,1.610E-6,1.664E-6,1.719E-6,1.774E-6
