pw ,static_A_f_O_f nw 8e-08 ,static_A_f_O_f nw 1.2e-07 ,static_A_f_O_f nw 1.6e-07 ,static_A_f_O_f nw 2e-07 ,static_A_f_O_f nw 2.4e-07 ,static_A_f_O_f nw 2.8e-07 
160.0E-9,57.41E-12,57.89E-12,59.42E-12,61.44E-12,63.70E-12,66.10E-12
200.0E-9,55.09E-12,54.80E-12,55.70E-12,57.15E-12,58.87E-12,60.76E-12
240.0E-9,53.77E-12,52.89E-12,53.31E-12,54.33E-12,55.67E-12,57.18E-12
280.0E-9,53.05E-12,51.67E-12,51.71E-12,52.40E-12,53.44E-12,54.67E-12
320.0E-9,52.71E-12,50.92E-12,50.63E-12,51.05E-12,51.84E-12,52.85E-12
360.0E-9,52.63E-12,50.47E-12,49.91E-12,50.11E-12,50.69E-12,51.51E-12
400.0E-9,52.74E-12,50.25E-12,49.45E-12,49.44E-12,49.86E-12,50.52E-12
440.0E-9,52.98E-12,50.19E-12,49.18E-12,48.99E-12,49.25E-12,49.78E-12
480.0E-9,53.34E-12,50.26E-12,49.04E-12,48.70E-12,48.83E-12,49.23E-12
520.0E-9,53.77E-12,50.43E-12,49.02E-12,48.53E-12,48.54E-12,48.84E-12
560.0E-9,54.26E-12,50.66E-12,49.09E-12,48.47E-12,48.36E-12,48.56E-12
600.0E-9,54.80E-12,50.96E-12,49.22E-12,48.48E-12,48.27E-12,48.38E-12
