pw ,static_A_r_O_r nw 8e-08 ,static_A_r_O_r nw 1.2e-07 ,static_A_r_O_r nw 1.6e-07 ,static_A_r_O_r nw 2e-07 ,static_A_r_O_r nw 2.4e-07 ,static_A_r_O_r nw 2.8e-07 
160.0E-9,46.12E-12,42.33E-12,40.38E-12,39.39E-12,38.94E-12,38.84E-12
200.0E-9,46.65E-12,41.99E-12,39.47E-12,38.07E-12,37.30E-12,36.92E-12
240.0E-9,47.91E-12,42.44E-12,39.40E-12,37.63E-12,36.58E-12,35.98E-12
280.0E-9,49.61E-12,43.35E-12,39.82E-12,37.71E-12,36.40E-12,35.60E-12
320.0E-9,51.57E-12,44.55E-12,40.54E-12,38.11E-12,36.57E-12,35.57E-12
360.0E-9,53.70E-12,45.94E-12,41.47E-12,38.73E-12,36.96E-12,35.79E-12
400.0E-9,55.96E-12,47.46E-12,42.55E-12,39.51E-12,37.51E-12,36.17E-12
440.0E-9,58.29E-12,49.08E-12,43.74E-12,40.39E-12,38.19E-12,36.68E-12
480.0E-9,60.68E-12,50.77E-12,45.00E-12,41.36E-12,38.95E-12,37.29E-12
520.0E-9,63.13E-12,52.52E-12,46.32E-12,42.40E-12,39.78E-12,37.96E-12
560.0E-9,65.61E-12,54.31E-12,47.68E-12,43.49E-12,40.67E-12,38.70E-12
600.0E-9,68.12E-12,56.13E-12,49.09E-12,44.61E-12,41.60E-12,39.48E-12
