pw ,static_B_f_O_f nw 8e-08 ,static_B_f_O_f nw 1.2e-07 ,static_B_f_O_f nw 1.6e-07 ,static_B_f_O_f nw 2e-07 ,static_B_f_O_f nw 2.4e-07 ,static_B_f_O_f nw 2.8e-07 
160.0E-9,53.87E-12,53.84E-12,54.92E-12,56.52E-12,58.40E-12,60.44E-12
200.0E-9,51.85E-12,51.13E-12,51.65E-12,52.75E-12,54.16E-12,55.75E-12
240.0E-9,50.71E-12,49.46E-12,49.54E-12,50.27E-12,51.34E-12,52.61E-12
280.0E-9,50.10E-12,48.40E-12,48.15E-12,48.58E-12,49.38E-12,50.40E-12
320.0E-9,49.84E-12,47.76E-12,47.21E-12,47.41E-12,47.99E-12,48.81E-12
360.0E-9,49.81E-12,47.39E-12,46.60E-12,46.58E-12,46.98E-12,47.64E-12
400.0E-9,49.96E-12,47.22E-12,46.21E-12,46.01E-12,46.25E-12,46.77E-12
440.0E-9,50.22E-12,47.20E-12,45.98E-12,45.62E-12,45.73E-12,46.12E-12
480.0E-9,50.58E-12,47.29E-12,45.89E-12,45.38E-12,45.37E-12,45.65E-12
520.0E-9,51.02E-12,47.47E-12,45.89E-12,45.26E-12,45.13E-12,45.31E-12
560.0E-9,51.51E-12,47.71E-12,45.97E-12,45.22E-12,44.98E-12,45.07E-12
600.0E-9,52.04E-12,48.01E-12,46.12E-12,45.24E-12,44.91E-12,44.92E-12
