pw ,static_B_r_O_r nw 8e-08 ,static_B_r_O_r nw 1.2e-07 ,static_B_r_O_r nw 1.6e-07 ,static_B_r_O_r nw 2e-07 ,static_B_r_O_r nw 2.4e-07 ,static_B_r_O_r nw 2.8e-07 
160.0E-9,46.30E-12,42.49E-12,40.53E-12,39.53E-12,39.08E-12,38.96E-12
200.0E-9,46.87E-12,42.20E-12,39.66E-12,38.26E-12,37.48E-12,37.09E-12
240.0E-9,48.18E-12,42.69E-12,39.64E-12,37.86E-12,36.81E-12,36.19E-12
280.0E-9,49.90E-12,43.63E-12,40.09E-12,37.97E-12,36.66E-12,35.85E-12
320.0E-9,51.89E-12,44.85E-12,40.84E-12,38.41E-12,36.86E-12,35.86E-12
360.0E-9,54.05E-12,46.27E-12,41.80E-12,39.05E-12,37.28E-12,36.10E-12
400.0E-9,56.32E-12,47.81E-12,42.90E-12,39.85E-12,37.86E-12,36.51E-12
440.0E-9,58.67E-12,49.45E-12,44.10E-12,40.76E-12,38.55E-12,37.04E-12
480.0E-9,61.08E-12,51.15E-12,45.37E-12,41.74E-12,39.33E-12,37.66E-12
520.0E-9,63.53E-12,52.91E-12,46.71E-12,42.79E-12,40.17E-12,38.35E-12
560.0E-9,66.01E-12,54.70E-12,48.08E-12,43.89E-12,41.07E-12,39.10E-12
600.0E-9,68.52E-12,56.52E-12,49.49E-12,45.02E-12,42.01E-12,39.88E-12
