pw ,static_C_f_O_f nw 8e-08 ,static_C_f_O_f nw 1.2e-07 ,static_C_f_O_f nw 1.6e-07 ,static_C_f_O_f nw 2e-07 ,static_C_f_O_f nw 2.4e-07 ,static_C_f_O_f nw 2.8e-07 
160.0E-9,47.92E-12,47.75E-12,48.72E-12,50.22E-12,52.02E-12,53.99E-12
200.0E-9,45.94E-12,45.08E-12,45.48E-12,46.49E-12,47.82E-12,49.34E-12
240.0E-9,44.80E-12,43.41E-12,43.39E-12,44.01E-12,45.00E-12,46.19E-12
280.0E-9,44.18E-12,42.34E-12,41.97E-12,42.31E-12,43.02E-12,43.97E-12
320.0E-9,43.90E-12,41.67E-12,41.01E-12,41.10E-12,41.60E-12,42.34E-12
360.0E-9,43.83E-12,41.27E-12,40.36E-12,40.24E-12,40.55E-12,41.13E-12
400.0E-9,43.94E-12,41.06E-12,39.92E-12,39.63E-12,39.79E-12,40.22E-12
440.0E-9,44.16E-12,40.99E-12,39.66E-12,39.20E-12,39.22E-12,39.53E-12
480.0E-9,44.48E-12,41.03E-12,39.51E-12,38.91E-12,38.81E-12,39.01E-12
520.0E-9,44.86E-12,41.16E-12,39.47E-12,38.73E-12,38.52E-12,38.62E-12
560.0E-9,45.30E-12,41.36E-12,39.51E-12,38.64E-12,38.33E-12,38.34E-12
600.0E-9,45.78E-12,41.61E-12,39.60E-12,38.62E-12,38.21E-12,38.14E-12
