pw ,static_C_r_O_r nw 8e-08 ,static_C_r_O_r nw 1.2e-07 ,static_C_r_O_r nw 1.6e-07 ,static_C_r_O_r nw 2e-07 ,static_C_r_O_r nw 2.4e-07 ,static_C_r_O_r nw 2.8e-07 
160.0E-9,47.04E-12,43.01E-12,40.89E-12,39.77E-12,39.23E-12,39.03E-12
200.0E-9,47.71E-12,42.78E-12,40.08E-12,38.54E-12,37.67E-12,37.21E-12
240.0E-9,49.11E-12,43.34E-12,40.10E-12,38.19E-12,37.04E-12,36.34E-12
280.0E-9,50.92E-12,44.34E-12,40.61E-12,38.35E-12,36.94E-12,36.03E-12
320.0E-9,52.99E-12,45.63E-12,41.42E-12,38.83E-12,37.16E-12,36.07E-12
360.0E-9,55.22E-12,47.11E-12,42.42E-12,39.52E-12,37.63E-12,36.35E-12
400.0E-9,57.55E-12,48.70E-12,43.57E-12,40.36E-12,38.24E-12,36.79E-12
440.0E-9,59.97E-12,50.39E-12,44.81E-12,41.31E-12,38.97E-12,37.35E-12
480.0E-9,62.43E-12,52.14E-12,46.13E-12,42.33E-12,39.79E-12,38.01E-12
520.0E-9,64.94E-12,53.94E-12,47.50E-12,43.41E-12,40.66E-12,38.73E-12
560.0E-9,67.48E-12,55.78E-12,48.91E-12,44.54E-12,41.59E-12,39.51E-12
600.0E-9,70.04E-12,57.64E-12,50.36E-12,45.71E-12,42.56E-12,40.33E-12
