pw ,static_power_avg nw 8e-08 ,static_power_avg nw 1.2e-07 ,static_power_avg nw 1.6e-07 ,static_power_avg nw 2e-07 ,static_power_avg nw 2.4e-07 ,static_power_avg nw 2.8e-07 
160.0E-9,1.266E-6,1.353E-6,1.439E-6,1.525E-6,1.610E-6,1.695E-6
200.0E-9,1.367E-6,1.453E-6,1.539E-6,1.624E-6,1.709E-6,1.794E-6
240.0E-9,1.468E-6,1.553E-6,1.639E-6,1.724E-6,1.808E-6,1.893E-6
280.0E-9,1.569E-6,1.653E-6,1.738E-6,1.823E-6,1.907E-6,1.991E-6
320.0E-9,1.669E-6,1.753E-6,1.837E-6,1.922E-6,2.006E-6,2.089E-6
360.0E-9,1.770E-6,1.853E-6,1.937E-6,2.020E-6,2.104E-6,2.187E-6
400.0E-9,1.870E-6,1.953E-6,2.036E-6,2.119E-6,2.202E-6,2.285E-6
440.0E-9,1.970E-6,2.052E-6,2.135E-6,2.217E-6,2.300E-6,2.383E-6
480.0E-9,2.070E-6,2.151E-6,2.233E-6,2.315E-6,2.398E-6,2.480E-6
520.0E-9,2.170E-6,2.250E-6,2.332E-6,2.414E-6,2.496E-6,2.578E-6
560.0E-9,2.270E-6,2.349E-6,2.430E-6,2.512E-6,2.593E-6,2.675E-6
600.0E-9,2.370E-6,2.448E-6,2.529E-6,2.610E-6,2.691E-6,2.772E-6
