Test,Output,Nominal,Spec,Weight,Pass/Fail
NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
NCL_SYS_06_FBBN_BFX,regA,,,,
NCL_SYS_06_FBBN_BFX,regB,,,,
NCL_SYS_06_FBBN_BFX,regCI,,,,
NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,11.81e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,17.68e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,29.49e-9,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290.3e-12,,,
NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,268.7e-12,,,
NCL_SYS_06_FBBN_BFX,avg_p_ALL,4.168e-6,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,167e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,168.4e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,167.2e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_in,231.8e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_reg_o,128.7e-9,,,
NCL_SYS_06_FBBN_BFX,/DN_out,,,,
NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
NCL_SYS_06_FBBN_BFX,/DN_in,,,,
NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,91.1e-12,,,
NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,144e-12,,,
NCL_SYS_06_FBBN_BFX,DN_in_2_FBBN_en_delay_R,346.9e-12,,,
NCL_SYS_06_FBBN_BFX,DN_out_2_FBBN_en_delay_F,240e-12,,,
NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,155.4e-12,,,
NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,133.3e-12,,,
NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_R,186.4e-12,,,
NCL_SYS_06_FBBN_BFX,FBBN_en_2_N_net_delay_F,213.8e-12,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,786e-12,,,
NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,1.09e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,4.11e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.874e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_AND,7.704e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_OR,4.044e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_BFX,226.8e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_NLS,558.9e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.579e-9,,,
NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,809e-9,,,

