Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: BFx100_S1nW=240n,,,,,,
1,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
1,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
1,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
1,NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
1,NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
1,NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
1,NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
1,NCL_SYS_06_FBBN_BFX,regA,,,,
1,NCL_SYS_06_FBBN_BFX,regB,,,,
1,NCL_SYS_06_FBBN_BFX,regCI,,,,
1,NCL_SYS_06_FBBN_BFX,VDD_90pc,4.05E-01,,,
1,NCL_SYS_06_FBBN_BFX,VDD_10pc,4.50E-02,,,
1,NCL_SYS_06_FBBN_BFX,VNEG_90pc,-4.05E-01,,,
1,NCL_SYS_06_FBBN_BFX,VNEG_10pc,-4.50E-02,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,1.40E-08,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,1.77E-08,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,3.16E-08,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,2.90E-10,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,2.69E-10,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.88E-06,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,1.63E-07,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,1.65E-07,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,1.65E-07,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_reg_in,2.32E-07,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_reg_o,1.29E-07,,,
1,NCL_SYS_06_FBBN_BFX,/DN_out,,,,
1,NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
1,NCL_SYS_06_FBBN_BFX,/DN_in,,,,
1,NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,6.93E-11,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,1.31E-10,,,
1,NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,1.57E-10,,,
1,NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,1.21E-10,,,
1,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,7.85E-10,,,
1,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,1.09E-09,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,3.71E-09,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.90E-09,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_OR,4.05E-09,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_NLS,5.59E-07,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.10E-09,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,5.73E-07,,,
Parameters: BFx100_S1nW=320n,,,,,,
2,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
2,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
2,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
