Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: BFx50_S1nW=160n, BFx50_S1pW=320n",,,,,,
1,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
1,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
1,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
1,NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
1,NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
1,NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
1,NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
1,NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
1,NCL_SYS_06_FBBN_BFX,regA,,,,
1,NCL_SYS_06_FBBN_BFX,regB,,,,
1,NCL_SYS_06_FBBN_BFX,regCI,,,,
1,NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
1,NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
1,NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
1,NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,13.97e-9,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,17.75e-9,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,31.72e-9,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290.2e-12,,,
1,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,269e-12,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.829e-6,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,162.7e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,164.8e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,164.8e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_reg_in,232.1e-9,,,
1,NCL_SYS_06_FBBN_BFX,avg_p_reg_o,128.8e-9,,,
1,NCL_SYS_06_FBBN_BFX,/DN_out,,,,
1,NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
