Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: V_FBBN=0, V_FBBP=0",,,,,,
1,SIMS_NCL_SYS_06_sim,V_SUPPLY,,,,
1,SIMS_NCL_SYS_06_sim,V_FBBP,,,,
1,SIMS_NCL_SYS_06_sim,V_FBBN,,,,
1,SIMS_NCL_SYS_06_sim,A<15:0>,,,,
1,SIMS_NCL_SYS_06_sim,B<15:0>,,,,
1,SIMS_NCL_SYS_06_sim,CI<1:0>,,,,
1,SIMS_NCL_SYS_06_sim,SUM<15:0>,,,,
1,SIMS_NCL_SYS_06_sim,CO<1:0>,,,,
1,SIMS_NCL_SYS_06_sim,Reg_O_ko,,,,
1,SIMS_NCL_SYS_06_sim,Reg_I_ko,,,,
1,SIMS_NCL_SYS_06_sim,Areg,,,,
1,SIMS_NCL_SYS_06_sim,Breg,,,,
1,SIMS_NCL_SYS_06_sim,Cireg,,,,
1,SIMS_NCL_SYS_06_sim,VDD_90pc,405e-3,,,
1,SIMS_NCL_SYS_06_sim,VDD_10pc,45e-3,,,
1,SIMS_NCL_SYS_06_sim,VNEG_90pc,-405e-3,,,
1,SIMS_NCL_SYS_06_sim,VNEG_10pc,-45e-3,,,
1,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_R,13.94e-9,,,
1,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_F,23.05e-9,,,
1,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_SUM,36.99e-9,,,
1,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_R,290.3e-12,,,
1,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_F,269.1e-12,,,
1,SIMS_NCL_SYS_06_sim,avg_p_ALL,3.176e-6,,,
1,SIMS_NCL_SYS_06_sim,avg_p_DUT_1_1,158.2e-9,,,
1,SIMS_NCL_SYS_06_sim,avg_p_DUT_2_1,157.1e-9,,,
1,SIMS_NCL_SYS_06_sim,avg_p_DUT_3_1,157.7e-9,,,
1,SIMS_NCL_SYS_06_sim,avg_p_reg_in,231.8e-9,,,
1,SIMS_NCL_SYS_06_sim,avg_p_reg_o,128.8e-9,,,
"Parameters: V_FBBN=0, V_FBBP=-450m",,,,,,
2,SIMS_NCL_SYS_06_sim,V_SUPPLY,,,,
2,SIMS_NCL_SYS_06_sim,V_FBBP,,,,
2,SIMS_NCL_SYS_06_sim,V_FBBN,,,,
2,SIMS_NCL_SYS_06_sim,A<15:0>,,,,
2,SIMS_NCL_SYS_06_sim,B<15:0>,,,,
2,SIMS_NCL_SYS_06_sim,CI<1:0>,,,,
2,SIMS_NCL_SYS_06_sim,SUM<15:0>,,,,
2,SIMS_NCL_SYS_06_sim,CO<1:0>,,,,
2,SIMS_NCL_SYS_06_sim,Reg_O_ko,,,,
2,SIMS_NCL_SYS_06_sim,Reg_I_ko,,,,
2,SIMS_NCL_SYS_06_sim,Areg,,,,
2,SIMS_NCL_SYS_06_sim,Breg,,,,
2,SIMS_NCL_SYS_06_sim,Cireg,,,,
2,SIMS_NCL_SYS_06_sim,VDD_90pc,405e-3,,,
2,SIMS_NCL_SYS_06_sim,VDD_10pc,45e-3,,,
2,SIMS_NCL_SYS_06_sim,VNEG_90pc,-405e-3,,,
2,SIMS_NCL_SYS_06_sim,VNEG_10pc,-45e-3,,,
2,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_R,11.82e-9,,,
2,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_F,17.04e-9,,,
2,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_SUM,28.86e-9,,,
2,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_R,293.3e-12,,,
2,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_F,269.8e-12,,,
2,SIMS_NCL_SYS_06_sim,avg_p_ALL,3.505e-6,,,
2,SIMS_NCL_SYS_06_sim,avg_p_DUT_1_1,175.8e-9,,,
2,SIMS_NCL_SYS_06_sim,avg_p_DUT_2_1,175.4e-9,,,
2,SIMS_NCL_SYS_06_sim,avg_p_DUT_3_1,176e-9,,,
2,SIMS_NCL_SYS_06_sim,avg_p_reg_in,232.3e-9,,,
2,SIMS_NCL_SYS_06_sim,avg_p_reg_o,128.7e-9,,,
"Parameters: V_FBBN=450m, V_FBBP=0",,,,,,
3,SIMS_NCL_SYS_06_sim,V_SUPPLY,,,,
3,SIMS_NCL_SYS_06_sim,V_FBBP,,,,
3,SIMS_NCL_SYS_06_sim,V_FBBN,,,,
3,SIMS_NCL_SYS_06_sim,A<15:0>,,,,
3,SIMS_NCL_SYS_06_sim,B<15:0>,,,,
3,SIMS_NCL_SYS_06_sim,CI<1:0>,,,,
3,SIMS_NCL_SYS_06_sim,SUM<15:0>,,,,
3,SIMS_NCL_SYS_06_sim,CO<1:0>,,,,
3,SIMS_NCL_SYS_06_sim,Reg_O_ko,,,,
3,SIMS_NCL_SYS_06_sim,Reg_I_ko,,,,
3,SIMS_NCL_SYS_06_sim,Areg,,,,
3,SIMS_NCL_SYS_06_sim,Breg,,,,
3,SIMS_NCL_SYS_06_sim,Cireg,,,,
3,SIMS_NCL_SYS_06_sim,VDD_90pc,405e-3,,,
3,SIMS_NCL_SYS_06_sim,VDD_10pc,45e-3,,,
3,SIMS_NCL_SYS_06_sim,VNEG_90pc,-405e-3,,,
3,SIMS_NCL_SYS_06_sim,VNEG_10pc,-45e-3,,,
3,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_R,11.65e-9,,,
3,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_F,21.12e-9,,,
3,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_SUM,32.77e-9,,,
3,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_R,293.4e-12,,,
3,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_F,268.6e-12,,,
3,SIMS_NCL_SYS_06_sim,avg_p_ALL,3.519e-6,,,
3,SIMS_NCL_SYS_06_sim,avg_p_DUT_1_1,175.8e-9,,,
3,SIMS_NCL_SYS_06_sim,avg_p_DUT_2_1,176.1e-9,,,
3,SIMS_NCL_SYS_06_sim,avg_p_DUT_3_1,177.4e-9,,,
3,SIMS_NCL_SYS_06_sim,avg_p_reg_in,231.9e-9,,,
3,SIMS_NCL_SYS_06_sim,avg_p_reg_o,128.6e-9,,,
