CLoad ,delay_Ki_r_P_r,delay_Ki_f_P_f,delay_avg,power_avg,delay_diff_f_r,EOP,EDP
50.00E-15,366.2E-12,516.5E-12,441.4E-12,694.5E-9,150.3E-12,13.89E-15,6.130E-24
100.0E-15,457.5E-12,557.5E-12,507.5E-12,898.3E-9,100.0E-12,17.97E-15,9.118E-24
150.0E-15,548.5E-12,596.5E-12,572.5E-12,1.102E-6,47.99E-12,22.04E-15,12.62E-24
200.0E-15,639.4E-12,635.3E-12,637.3E-12,1.305E-6,-4.145E-12,26.11E-15,16.64E-24
250.0E-15,730.5E-12,674.0E-12,702.3E-12,1.509E-6,-56.55E-12,30.18E-15,21.19E-24
300.0E-15,821.3E-12,712.3E-12,766.8E-12,1.712E-6,-109.0E-12,34.24E-15,26.26E-24
350.0E-15,912.4E-12,751.9E-12,832.1E-12,1.914E-6,-160.5E-12,38.29E-15,31.86E-24
400.0E-15,1.003E-9,789.9E-12,896.6E-12,2.117E-6,-213.3E-12,42.33E-15,37.96E-24
450.0E-15,1.094E-9,827.9E-12,961.0E-12,2.319E-6,-266.0E-12,46.38E-15,44.57E-24
500.0E-15,1.185E-9,866.8E-12,1.026E-9,2.521E-6,-318.1E-12,50.42E-15,51.73E-24
550.0E-15,1.277E-9,905.1E-12,1.091E-9,2.724E-6,-371.4E-12,54.47E-15,59.42E-24
600.0E-15,1.367E-9,943.5E-12,1.155E-9,2.926E-6,-423.3E-12,58.52E-15,67.60E-24
650.0E-15,1.457E-9,982.3E-12,1.220E-9,3.128E-6,-475.0E-12,62.56E-15,76.31E-24
700.0E-15,1.548E-9,1.021E-9,1.285E-9,3.330E-6,-527.5E-12,66.61E-15,85.56E-24
750.0E-15,1.639E-9,1.059E-9,1.349E-9,3.533E-6,-580.4E-12,70.66E-15,95.33E-24
800.0E-15,1.730E-9,1.098E-9,1.414E-9,3.735E-6,-632.8E-12,74.71E-15,105.6E-24
850.0E-15,1.821E-9,1.136E-9,1.479E-9,3.938E-6,-684.6E-12,78.76E-15,116.4E-24
900.0E-15,1.912E-9,1.175E-9,1.543E-9,4.140E-6,-737.2E-12,82.81E-15,127.8E-24
950.0E-15,2.003E-9,1.213E-9,1.608E-9,4.343E-6,-789.6E-12,86.86E-15,139.7E-24
1.000E-12,2.094E-9,1.252E-9,1.673E-9,4.545E-6,-841.8E-12,90.91E-15,152.1E-24
